prompt,visibility,aspect_ratio,magic_prompt,model,seed_number,rendering,negative_prompt,style,color_palette,num_images
"Documentary 35mm photograph of a young man around 19 years old in his bedroom, tousled dark brown curly hair, grey hoodie with white headphones around his neck, seated at a desk near a tall window with soft natural daylight. Laptop closed on the desk. A few minimalist posters on the wall behind, a small succulent plant, a partially visible bookshelf. He turns his head toward the camera with a calm, unposed, slightly curious expression. Kodak Portra 400 film grain, warm interior light, authentic documentary editorial, no forced smile. Intended file: persona_chambre.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, cartoon, plastic skin",realistic,,3
"Documentary 35mm photograph of a man around 32 years old of Afro-Caribbean heritage on a tropical veranda at golden hour — short natural hair, trimmed beard, wearing a beige linen shirt. He is seated at an outdoor wooden table, chin resting thoughtfully on one hand, an iPad and a few printed documents on the table. Palm trees and tropical foliage softly blurred in background. Warm end-of-day light, specifically evocative of Martinique / Guadeloupe / Fort-de-France. Kodak Portra 400 film grain, authentic editorial, candid contemplative mood, no posed smile. Intended file: persona_outre-mer.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, tourist",realistic,,3
"Documentary 35mm photograph of a man around 27 years old with tousled medium brown hair and thin wire-rimmed glasses, wearing a light blue linen shirt, seated at a small café table near a window. Ceramic cappuccino cup in his hand, open notebook on the table, laptop partially visible at the side. Blurred urban street scene with soft bokeh outside the window. Warm café interior light, Parisian bistrot atmosphere. Kodak Portra 400 film grain, authentic editorial, focused thoughtful expression, no forced smile. Intended file: persona_cafe-hipster.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a young athletic woman around 24 years old in a professional gym, hair tied back in a ponytail, wearing gray sports bra and matching gym leggings, a towel draped over her shoulder. Seated on a weight bench, leaning forward intensely reading a laptop screen on her lap. Clean modern gym in the background with blurred fluorescent lighting. Focused determined expression. Kodak Portra 400 film grain, cinematic documentary aesthetic, authentic dual-life narrative (athlete + student). Intended file: persona_athlete-gym.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a woman around 30 years old with long chestnut brown hair and light olive skin, wearing a soft pastel pink silk blouse, seated on a couch with a laptop on her lap and an open notebook in her other hand. A child's wooden toy and a small chair softly blurred in the background, warm afternoon living-room light. Calm confident expression looking toward camera, no forced smile. Kodak Portra 400 film grain, tender and composed editorial mood. Intended file: persona_mere-canape.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, child visible",realistic,,3
"Documentary 35mm photograph of a young man around 22 years old with short ginger hair and light freckles, wearing a natural cream-colored knit sweater, standing at a rustic stone kitchen counter in a rural French house. A laptop open on the wooden worktop, a small glass of tea on a saucer. Tall window behind him opens onto rolling green hills typical of Auvergne countryside. A pair of green rubber rain boots in the corner, stone walls, Le Creuset-like cast iron visible. Warm rural domestic light, Kodak Portra 400 film grain, authentic candid expression with a subtle calm smile, documentary editorial style. Intended file: persona_auvergne.jpg",private,1:1,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, urban",realistic,,3
"Documentary 35mm photograph of a woman around 25 years old on a narrow balcony of a classic Lisbon apartment, medium-length wavy chestnut hair, small gold hoop earrings, wearing a denim jacket over a navy-and-white striped shirt. She holds an open paperback book (generic unreadable cover, no specific text). Behind her, pastel-colored Alfama buildings and traditional azulejo tiles softly visible. Warm Mediterranean afternoon light. Calm introspective expression, no forced smile. Kodak Portra 400 film grain, authentic editorial travel-style portrait. Intended file: persona_lisbonne.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, readable text on book cover",realistic,,3
"Documentary 35mm photograph of an experienced female teacher around 42 years old in a home office — curly dark hair with some grey streaks pulled into a low ponytail, small gold earring, wearing a dark blue button-down shirt. Seated at a desk, mid-gesture, hands explaining something animatedly, looking toward a laptop screen. A visible ring light to her right, bookshelf behind her, a small green mug and a few notebooks on the desk. Warm tungsten lamp lighting. Kodak Portra 400 film grain, engaged expression, authentic teaching moment, documentary editorial. Intended file: prof_ring-light.jpg",private,16:9,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, corporate",realistic,,3
"Documentary 35mm photograph reverse shot — a woman around 30 years old curly dark hair at home in a cozy living room, cream knit sweater, leaning toward her laptop on a small side table, taking handwritten notes in a paper notebook with a pen, a green ceramic mug nearby. On the laptop screen (visible from the side angle) appears another woman in a similar home setting teaching via video call. Warm evening living-room light with a table lamp. Kodak Portra 400 film grain, focused listening expression, authentic editorial of online learning moment. Intended file: prof_learner.jpg",private,16:9,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a young woman around 23 years old on a TGV train seat, medium-length brown hair, small gold hoop earrings, wearing a natural linen sand-colored shirt. Open MacBook laptop on her lap. She gazes thoughtfully out the window at the French countryside rushing past in motion blur — green fields, a distant hedgerow. Soft afternoon light through the train window. Other passengers softly blurred in the background. Kodak Portra 400 film grain, introspective mood, authentic editorial, no staged element. Intended file: persona_tgv.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a young woman student-athlete in her early twenties arriving home after training — she drops her sports bag in the hallway of her modest studio apartment, still wearing athletic gear and ponytail, walks directly to her small desk by the window, opens her laptop with a tired but determined expression. Soft early evening light through a tall Parisian window, plants on the windowsill. Caught mid-movement, a half-finished sandwich on the desk. Kodak Portra 400 film grain, authentic dual-life moment, no staged pose, documentary honesty. Intended file: persona_athlete-rentre.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a 38 year old man during a mid-career transition, sitting at a simple wooden kitchen table in a modest French suburban home, with his 8 year old son next to him doing homework. The father has his laptop open and is taking notes in a notebook; the son is coloring on a school exercise book — a peaceful parallel study moment, one helping the other without staging. Late afternoon warm kitchen light, a pot of soup on the stove in soft background, checked curtains. Kodak Portra 400 film grain, intimate family atmosphere, warm earth tones, authentic documentary editorial, no posed smile. Intended file: persona_pere-fils.jpg",private,16:9,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, corporate",realistic,,3
"Documentary 35mm photograph of a young woman around 26 years old sitting on a wrought iron bench in Jardin du Luxembourg Paris on an autumn afternoon — camel wool coat over a navy-striped sweater, a silk scarf, her laptop open on her knees, one thin wired earphone visible, looking up momentarily from her screen, thoughtful. Yellow and orange fallen leaves scattered on the gravel path, classic Paris green park chairs slightly blurred in background, tall plane trees with autumn foliage. Late afternoon golden light through branches creating dappled shadows. Kodak Portra 400 film grain, rich autumn palette of amber, ochre, camel and navy. Authentic editorial photojournalism, contemplative moment. Intended file: hero_jardin-lux.jpg",private,4:5,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, summer, green leaves",realistic,,3
"Documentary 35mm photograph of a young man around 24 years old standing between tall bookshelves of an old academic library — deep in thought while reading a book, another book under his arm. Library has classical Parisian architecture reminiscent of Bibliothèque Sainte-Geneviève — warm mahogany wooden shelves, green-shaded brass reading lamps casting warm glow on book spines, old leather-bound volumes behind him. He wears a simple dark sweater and wire-rimmed glasses. Shaft of dusty sunlight from a tall window. Contemplative studious atmosphere. Kodak Portra 400 film grain, warm cinematic interior, shallow depth of field. Intended file: persona_biblio.jpg",private,4:5,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, modern library, fluorescent lights",realistic,,3
"Documentary 35mm photograph inside a modern French coworking space (reminiscent of La Ruche or Station F) — three young professionals of different ethnicities aged 26-32 in the middle of an animated discussion around a large wooden shared table. One standing gesturing with a laptop in hand, two others seated looking up at them engaged. Post-its scattered on the table, a whiteboard with colorful sketches softly blurred behind. Tall industrial windows pouring soft natural afternoon light. Exposed brick wall, plants, minimal modern furniture. Genuine working atmosphere, caught in movement, no posed smiles. Kodak Portra 400 film grain, warm neutral palette, authentic documentary editorial. Intended file: persona_coworking.jpg",private,16:9,off,3.0,,quality,"stock photo, staged, posed, watermarks, logos, text, HDR, corporate cheesy",realistic,,3
"Documentary 35mm photograph of a young woman around 23 years old seated on a wooden bench of a Paris metro platform — specifically the elevated Ligne 6 station with iron arches. Short dark hair bob, beige trench coat over dark jeans, MacBook laptop balanced on her knees, typing with focus. A blue and white metro train stopped on the opposite platform, blurred silhouettes of commuters on the far platform. Afternoon natural light through the station's open structure. Vintage Parisian theater poster softly visible on the tiled wall behind her. Kodak Portra 400 film grain, cinematic documentary aesthetic, gritty Parisian texture. Intended file: persona_metro.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, watermarks, logos, text, HDR, cartoon, modern station",realistic,,3
"Documentary 35mm photograph, two young women around 24 years old at a Parisian coffee shop table — one with wavy brown hair writing by hand in a paper notebook, the other Asian-French with straight black hair typing on her silver laptop. They laugh at something together, caught in a spontaneous candid moment. Marble bistro table with two empty espresso cups and a croissant plate. Warm ambient interior lighting from a large window on the left, typical Parisian coffee shop atmosphere with a brass coat rack and chalkboard menu softly blurred in background. Kodak Portra 400 film grain, natural unposed moment, genuine shared laughter, shallow depth of field. Intended file: persona_duo-cafe.jpg",private,3:2,off,3.0,,quality,"stock photo, fake smile toward camera, posed, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm tight portrait of a woman around 28 years old with curly brown hair in a low ponytail, warm medium skin, wearing a mustard yellow knit sweater. Seated at a kitchen table at home, a laptop slightly out of focus in the background. Natural afternoon window light, calm composed expression with a subtle smile at the corner of her mouth, looking directly at camera. Kodak Portra 400 film grain, authentic editorial testimonial portrait style. Warm domestic intimate mood. Intended file: temoignage_andrea.jpg",private,1:1,off,3.0,,quality,"stock photo, fake cheesy smile, watermarks, logos, text, HDR, corporate",realistic,,2
"Documentary 35mm tight portrait of a woman around 44 years old with shoulder-length dark brown hair with subtle grey strands, fair skin, small gold hoop earrings, wearing a cream cotton shirt. Home setting blurred behind — a living room with a soft table lamp. Natural side window light, confident warm expression with a subtle smile, direct eye contact with camera. Kodak Portra 400 film grain, authentic editorial testimonial portrait, dignified and honest. Intended file: temoignage_martine.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR, overly youthful filter",realistic,,2
"Documentary 35mm tight portrait of a woman around 30 years old of Creole / Caribbean heritage, warm deep skin, natural dark curly hair worn up, wearing a simple white linen top with small gold earrings. Background shows a softly blurred tropical veranda with banana leaves, evocative of French Guiana or Martinique. Warm late-afternoon tropical daylight. Calm assured expression looking toward camera. Kodak Portra 400 film grain, authentic editorial testimonial portrait. Intended file: temoignage_marion.jpg",private,1:1,off,3.0,,quality,"stock photo, fake smile, watermarks, logos, text, HDR, tourist filter",realistic,,2
"Documentary 35mm photograph of a young woman around 26 years old at home on a large linen sofa in a bright Parisian Haussmann apartment with tall French windows, parquet floors, a few books on the coffee table. She has a laptop open on her lap, one knee tucked up, she looks thoughtfully out the window. Wears a cream oversized wool cardigan over a simple white t-shirt, hair loosely up. Soft afternoon light pouring through the windows. Shallow depth of field, Kodak Portra 400 film grain, warm tones. Authentic editorial portrait, no forced smile, generous negative space. Intended use: alternative hero 4:5. Intended file: hero_canape-paris.jpg",private,4:5,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a mother in her early fifties sitting at a kitchen table with her adult daughter in her mid-twenties. Both are looking at a laptop screen together, the mother pointing at something, the daughter listening attentively. Warm kitchen home lighting, French provincial kitchen with subtle details (copper pot, linen tea towel). Both wear casual simple clothes. Natural candid moment, not posed. Kodak Portra 400 film grain, authentic intergenerational family moment, intended for a section titled 'Pour les parents'. Intended file: parents_conversation.jpg",private,3:2,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR",realistic,,3
"Documentary 35mm photograph of a young woman around 25 years old on a video call — seen over her shoulder, we see her laptop screen with a professional advisor in a soft-lit office. She is taking notes in a notebook. Warm evening home setting, a small cup of tea on the desk. Kodak Portra 400 film grain, calm focused attention, authentic editorial moment. Intended to evoke the admission interview / conseiller en formation scene. Intended file: cta_admission.jpg",private,16:9,off,3.0,,quality,"stock photo, posed, fake smile, watermarks, logos, text, HDR, corporate",realistic,,3
